"","Site","Date","meanAFDM_Area","sdAFDM_Area","seAFDM_Area","AverageAFDM_Label"
"1","Glacier-fed",2018-04-19,2528.4,552.937626455281,110.587525291056,605
"2","Glacier-fed",2018-05-15,276.590625,303.560604662603,37.9450755828253,605
"3","Glacier-fed",2018-06-14,582.55,116.894904722148,23.3789809444295,605
"4","Glacier-fed",2018-07-12,245.085,116.183536914659,23.2367073829319,605
"5","Glacier-fed",2018-08-16,234.43,101.163857491201,20.2327714982402,605
"6","Glacier-fed",2018-09-13,865.13,628.439003205562,125.687800641112,605
"7","Glacier-fed",2018-10-22,808.3,502.490590707926,100.498118141585,605
"8","Glacier-fed",2018-11-12,236.19,102.219883400931,20.4439766801863,605
"9","Glacier-fed",2019-01-16,627.2,343.619684389588,68.7239368779176,605
"10","Glacier-fed",2019-04-05,628.53,342.642548529076,68.5285097058151,605
"11","Transitional",2018-04-17,1568.74,2093.91369998861,418.782739997723,1203
"12","Transitional",2018-05-17,1409.26,683.494807633899,136.69896152678,1203
"13","Transitional",2018-06-12,913.66,420.655731641089,84.1311463282178,1203
"14","Transitional",2018-07-10,831.795,486.47920157238,97.2958403144759,1203
"15","Transitional",2018-08-17,929.98,228.280261821954,45.6560523643909,1203
"16","Transitional",2018-09-12,946.165,441.612425379993,88.3224850759986,1203
"17","Transitional",2018-10-18,2150.115,3363.79546562547,672.759093125095,1203
"18","Transitional",2018-11-13,2252.305,610.806494879925,122.161298975985,1203
"19","Transitional",2019-01-17,996.5205,856.253097042574,171.250619408515,1203
"20","Transitional",2019-04-08,1570.0615,1985.577989876,397.115597975199,1203
"21","Rain-fed",2018-04-20,1742.405,614.761227886486,122.952245577297,1115
"22","Rain-fed",2018-05-16,284.785,214.268865563805,42.853773112761,1115
"23","Rain-fed",2018-06-13,735.385,429.355721765182,85.8711443530363,1115
"24","Rain-fed",2018-07-11,336.095,167.29062697892,33.4581253957839,1115
"25","Rain-fed",2018-08-15,2535.535,504.795848152994,100.959169630599,1115
"26","Rain-fed",2018-09-11,256.045,127.259873634622,25.4519747269244,1115
"27","Rain-fed",2018-10-18,1418.395,450.156672518025,90.0313345036049,1115
"28","Rain-fed",2018-11-09,811.3905,303.795949633549,60.7591899267099,1115
"29","Rain-fed",2019-01-15,1696.135,797.728765308109,159.545753061622,1115
"30","Rain-fed",2019-04-03,1675.45352941176,1987.20837218758,397.441674437517,1115
"31","Snow-fed",2018-04-18,1548.91666666667,282.003693829236,94.0012312764119,1260
"32","Snow-fed",2018-05-14,1422.86,842.60039694834,168.520079389668,1260
"33","Snow-fed",2018-06-11,919.685,383.435700933025,76.687140186605,1260
"34","Snow-fed",2018-07-09,486.975,175.098545467974,35.0197090935947,1260
"35","Snow-fed",2018-08-13,1536.87,949.503018261396,189.900603652279,1260
"36","Snow-fed",2018-09-10,621.445,489.138502688656,97.8277005377311,1260
"37","Snow-fed",2018-10-16,2136.03,997.448644417345,199.489728883469,1260
"38","Snow-fed",2018-11-07,961.27,427.339466349646,85.4678932699291,1260
"39","Snow-fed",2019-01-14,2027.62,585.730118740705,117.146023748141,1260
"40","Snow-fed",2019-04-02,1097.48194444444,613.288534559945,102.214755759991,1260
