"","StreamID","Date","meanBiom","sdBiom","seBiom","AverageAFDM_Label"
"1","Glacier-fed","2018-04-19",104.655055312813,27.9476261000411,5.58952522000823,32
"2","Glacier-fed","2018-05-16",37.4941273481363,42.6723636183334,8.53447272366668,32
"3","Glacier-fed","2018-06-14",36.5399601418407,15.7890301940003,3.15780603880005,32
"4","Glacier-fed","2018-07-12",1.3985175622788,0.653845272908958,0.130769054581791,32
"5","Glacier-fed","2018-08-16",7.14814487817122,2.61719244487638,0.523438488975275,32
"6","Glacier-fed","2018-09-13",27.8732693392442,16.5084943823339,3.30169887646678,32
"7","Glacier-fed","2018-10-22",23.2997999853158,13.6878570865859,2.73757141731718,32
"8","Glacier-fed","2018-11-12",7.84240297916619,4.3781313838938,0.875626276778761,32
"9","Glacier-fed","2019-01-16",66.0275294472352,38.7933201849411,7.75866403698821,32
"10","Glacier-fed","2019-04-05",82.6644289056755,46.0867602452151,9.21735204904303,32
"11","Transitional","2018-04-17",96.466213730389,55.8340816400325,11.1668163280065,94
"12","Transitional","2018-05-17",187.436939794253,171.244498614008,34.2488997228017,94
"13","Transitional","2018-06-12",255.525394745774,88.5434419429903,17.7086883885981,94
"14","Transitional","2018-07-10",494.404077710256,544.268303850824,108.853660770165,94
"15","Transitional","2018-08-17",58.3129020756066,15.4575029895856,3.09150059791712,94
"16","Transitional","2018-09-12",89.6957950746151,33.6430471489761,6.72860942979522,94
"17","Transitional","2018-10-18",33.9705122056044,10.4232854054977,2.08465708109954,94
"18","Transitional","2018-11-13",59.8756075262661,19.6135676234541,3.92271352469082,94
"19","Transitional","2019-01-17",91.770826119651,65.3825707327348,13.076514146547,94
"20","Transitional","2019-04-08",135.401060680354,29.1039827779352,5.82079655558704,94
"21","Rain-fed","2018-04-20",437.094669393145,280.476971548256,56.0953943096512,459
"22","Rain-fed","2018-05-16",2358.27878742573,1221.10993137138,244.221986274276,459
"23","Rain-fed","2018-06-13",792.002033364034,733.929022142842,146.785804428568,459
"24","Rain-fed","2018-07-11",1479.20389507677,643.227788748245,128.645557749649,459
"25","Rain-fed","2018-08-15",146.497946315649,71.0254913791761,14.2050982758352,459
"26","Rain-fed","2018-09-11",253.703066312641,92.6092286789279,18.5218457357856,459
"27","Rain-fed","2018-10-19",121.268323255421,32.7380098232783,6.54760196465566,459
"28","Rain-fed","2018-11-09",481.780543864111,315.963499282219,63.1926998564438,459
"29","Rain-fed","2019-01-15",306.686284451315,168.130651005936,33.6261302011873,459
"30","Rain-fed","2019-04-03",1485.57071981668,1207.81295892291,241.562591784582,459
"31","Snow-fed","2018-04-18",516.993234439287,302.350132847399,60.4700265694797,330
"32","Snow-fed","2018-05-14",285.324282965478,121.086811599553,24.2173623199107,330
"33","Snow-fed","2018-06-11",684.477103580886,170.270753139561,34.0541506279123,330
"34","Snow-fed","2018-07-09",1542.67013317379,321.853745569503,64.3707491139005,330
"35","Snow-fed","2018-08-13",358.238828577744,130.933131632485,26.1866263264971,330
"36","Snow-fed","2018-09-10",91.8089419298283,44.7261538054747,8.94523076109495,330
"37","Snow-fed","2018-10-16",27.4944347156994,3.63065089583839,0.726130179167679,330
"38","Snow-fed","2018-11-07",80.7131672023733,37.9254944720446,7.58509889440891,330
"39","Snow-fed","2019-01-14",302.364923116607,131.305523033659,26.2611046067319,330
"40","Snow-fed","2019-04-02",756.182834606765,574.078129803477,114.815625960695,330
