"","Site","Date","meanAFDM","sdAFDM","seAFDM","AverageAFDM_Label"
"1","Glacier-fed",2018-04-19,611.067504822572,41.8743990669925,8.3748798133985,72
"2","Glacier-fed",2018-05-15,155.565691962811,98.2350262088348,19.647005241767,72
"3","Glacier-fed",2018-06-14,49.5615597898382,23.1428098995473,4.62856197990945,72
"4","Glacier-fed",2018-07-12,73.6950028305669,51.0934891642688,10.2186978328538,72
"5","Glacier-fed",2018-08-16,70.2411044950673,34.4869277041223,6.89738554082446,72
"6","Glacier-fed",2018-09-13,48.3093619122362,21.6438216502589,4.32876433005177,72
"7","Glacier-fed",2018-10-22,112.532099975912,43.2731926645781,8.65463853291562,72
"8","Glacier-fed",2018-11-12,52.4681127908538,25.091557189144,5.01831143782879,72
"9","Transitional",2018-04-17,433.366143632496,143.969431557118,28.7938863114236,270
"10","Transitional",2018-05-17,284.144232784434,120.991003846235,24.198200769247,270
"11","Transitional",2018-06-12,417.069791641279,194.063028016188,38.8126056032377,270
"12","Transitional",2018-07-10,255.434030398943,40.6451680451344,8.12903360902688,270
"13","Transitional",2018-08-17,233.472249347556,37.952701530877,7.5905403061754,270
"14","Transitional",2018-09-12,308.53165163548,97.4411232922009,19.4882246584402,270
"15","Transitional",2018-10-18,212.397203230875,45.7956953352698,9.15913906705397,270
"16","Transitional",2018-11-13,168.533242441841,19.2890387225504,3.85780774451008,270
"17","Rain-fed",2018-04-20,256.809328219013,75.5728435626665,15.1145687125333,250
"18","Rain-fed",2018-05-16,239.682812657091,45.1799476872856,9.03598953745711,250
"19","Rain-fed",2018-06-13,611.818684094224,132.844682595828,26.5689365191656,250
"20","Rain-fed",2018-07-11,1063.84416301168,510.632960842583,102.126592168517,250
"21","Rain-fed",2018-08-15,215.355691482185,39.3674572137118,7.87349144274236,250
"22","Rain-fed",2018-09-11,244.036443808871,153.541270970059,30.7082541940119,250
"23","Rain-fed",2018-10-19,197.16668958614,124.492559661744,24.8985119323489,250
"24","Rain-fed",2018-11-09,262.938659312833,41.8764370755438,8.37528741510875,250
"25","Snow-fed",2018-04-18,271.286948707858,60.527180054743,12.1054360109486,301
"26","Snow-fed",2018-05-14,211.981492961948,154.539608037006,30.9079216074013,301
"27","Snow-fed",2018-06-11,337.073646640878,124.288061757556,24.8576123515113,301
"28","Snow-fed",2018-07-09,434.203585085344,352.021462619271,70.4042925238542,301
"29","Snow-fed",2018-08-13,321.603471680124,118.635926875085,23.7271853750169,301
"30","Snow-fed",2018-09-10,178.239535993377,67.9996840462927,13.5999368092585,301
"31","Snow-fed",2018-10-16,176.449193173619,37.752345266382,7.5504690532764,301
"32","Snow-fed",2018-11-07,462.744005275123,172.211820035377,34.4423640070753,301
"33","Snow-fed",2018-11-17,300.72772068239,51.6788124654488,10.3357624930898,301
